,word,count
2191,조금,2
2192,스토리,3
2194,만쩜,2
2195,시간,2
2196,판도라,3
2197,행성,2
2199,그래픽,3
2200,가끔,2
2201,시지,2
2202,시간,2
2204,카메론,3
2205,어케했누,4
2208,아쉬움,3
2209,매력,2
2210,작품,2
2211,어케,2
2213,스토리,3
2214,영상,2
2216,판도라,3
2217,행성,2
2218,성계,2
2219,표현,2
2220,아랄,2
2222,투루쿠막토,5
2224,보람,2
2229,기다림,3
2230,대한,2
2231,보답,2
2232,기다림,3
2233,시작,2
2234,인생,2
2236,안경,2
2237,사람,2
2238,입장,2
2239,최선,2
2241,볼걸,2
2242,아쉬움,3
2243,스토리,3
2244,올해,2
2245,가장,2
2246,장식,2
2247,테이,2
2249,세상,2
2250,테리,2
2252,눈물,2
2254,대중,2
2255,부분,2
2256,간혹,2
2258,최고,2
2259,최고,2
2260,최고,2
2261,작품,2
2262,영감,2
2263,눈물,2
2264,철학,2
2265,작품,2
2266,스토리,3
2267,별루,2
2269,웅장,2
2271,바다,2
2272,는걸,2
2273,만약,2
2275,무조건,3
2277,덕분,2
2280,아침,2
2281,아이맥스,4
2283,최고,2
2284,최고,2
2286,헤어,2
2292,보이지,3
2293,느낌,2
2296,예매,2
2297,내용,2
2298,별거,2
2300,최고,2
2301,마지막,3
2304,먼저,2
2307,거지,2
2308,판도라,3
2309,행성,2
2310,현지,2
2311,촬영,2
2314,산소,2
2315,스탭들,3
2316,고생,2
2319,영상,2
2320,최고,2
2322,후속,2
2323,편이,2
2324,명성,2
2326,걱정,2
2328,나니,2
2329,카메론,3
2330,카메론,3
2331,무조건,3
2332,돌비,2
2333,시네마,3
2336,한마디,3
2337,시간,2
2339,올해,2
2340,범죄,2
2341,매버릭,3
2342,물의,2
2344,고민,2
2346,꼭꼭,2
2347,시간,2
2349,수도,2
2350,전혀,2
2353,소름,2
2355,후회,2
2357,다만,2
2358,스토리,3
2359,조금,2
2360,감수,2
2366,대박,2
2367,시간,2
2368,내내,2
2369,감동,2
2371,분도,2
2372,장면,2
2373,최고,2
2376,전쟁,2
2378,바다,2
2380,카메론,3
2381,카메론,3
2383,대체,2
2385,최고,2
2386,지리,2
2387,스토리,3
2388,매우,2
2389,시간,2
2390,최고,2
2392,최고,2
2393,작품,2
2394,영상,2
2395,스토리,3
2396,동물,2
2397,교감,2
2399,눈물,2
2400,감동,2
2401,환경,2
2402,동물,2
2403,보호,2
2404,감독,2
2408,전쟁,2
2411,웅장,2
2412,시간,2
2414,아쿠아리움,5
2415,체험,2
2416,당신,2
2417,장르,2
2418,이건,2
2419,바다,2
2420,때문,2
2421,스크린,3
2423,가치,2
2425,연출,2
2426,연기,2
2427,음악,2
2428,전부,2
2429,최고,2
2430,한마디,3
2431,정리,2
2432,후회,2
2433,절대,2
2434,영상,2
2435,압도,2
2436,역대,2
2438,제일,2
2439,미쉐린,3
2440,스타,2
2441,레스토랑,4
2443,조금,2
2444,코스,2
2445,전개,2
2446,디저트,3
2447,느낌,2
2448,전작,2
2450,인터넷,3
2451,스토리,3
2453,실제,2
2454,스토리,3
2456,모두,2
2457,퍼펙트,3
2458,감동,2
2460,카메론,3
2461,카메론,3
2463,안보,2
2464,바보,2
2465,추천,2
2466,개인,2
2470,거의,2
2471,실사,2
2473,최고,2
2474,최고,2
2476,돌비,2
2477,비쥬,2
2479,끝판,2
2481,극장,2
2482,영상,2
2483,작품,2
2485,웅장,2
2487,진보,2
2488,기술,2
2489,스토리,3
2490,사랑,2
